location,date,vaccine,total_vaccinations
Czechia,6/27/2021,Johnson&Johnson,87141
Czechia,6/27/2021,Moderna,681331
Czechia,6/27/2021,Oxford/AstraZeneca,717785
Czechia,6/27/2021,Pfizer/BioNTech,6438243
Czechia,6/28/2021,Johnson&Johnson,88385
Czechia,6/28/2021,Moderna,690082
Czechia,6/28/2021,Oxford/AstraZeneca,724667
Czechia,6/28/2021,Pfizer/BioNTech,6533086
Czechia,6/29/2021,Johnson&Johnson,89831
Czechia,6/29/2021,Moderna,700959
Czechia,6/29/2021,Oxford/AstraZeneca,734225
Czechia,6/29/2021,Pfizer/BioNTech,6624857
Czechia,6/30/2021,Johnson&Johnson,91169
Czechia,6/30/2021,Moderna,713304
Czechia,6/30/2021,Oxford/AstraZeneca,743262
Czechia,6/30/2021,Pfizer/BioNTech,6718477
Czechia,7/1/2021,Johnson&Johnson,92830
Czechia,7/1/2021,Moderna,724256
Czechia,7/1/2021,Oxford/AstraZeneca,752684
Czechia,7/1/2021,Pfizer/BioNTech,6807905
Czechia,7/2/2021,Johnson&Johnson,94433
Czechia,7/2/2021,Moderna,735165
Czechia,7/2/2021,Oxford/AstraZeneca,759733
Czechia,7/2/2021,Pfizer/BioNTech,6898345
Czechia,7/3/2021,Johnson&Johnson,94444
Czechia,7/3/2021,Moderna,736424
Czechia,7/3/2021,Oxford/AstraZeneca,760349
Czechia,7/3/2021,Pfizer/BioNTech,6934754
Czechia,7/4/2021,Johnson&Johnson,94451
Czechia,7/4/2021,Moderna,736921
Czechia,7/4/2021,Oxford/AstraZeneca,760395
Czechia,7/4/2021,Pfizer/BioNTech,6963340
Czechia,7/5/2021,Johnson&Johnson,94463
Czechia,7/5/2021,Moderna,737147
Czechia,7/5/2021,Oxford/AstraZeneca,760420
Czechia,7/5/2021,Pfizer/BioNTech,6995553
Czechia,7/6/2021,Johnson&Johnson,94477
Czechia,7/6/2021,Moderna,737819
Czechia,7/6/2021,Oxford/AstraZeneca,760612
Czechia,7/6/2021,Pfizer/BioNTech,7027433
Czechia,7/7/2021,Johnson&Johnson,95382
Czechia,7/7/2021,Moderna,746278
Czechia,7/7/2021,Oxford/AstraZeneca,766750
Czechia,7/7/2021,Pfizer/BioNTech,7114992
Czechia,7/8/2021,Johnson&Johnson,96676
Czechia,7/8/2021,Moderna,754995
Czechia,7/8/2021,Oxford/AstraZeneca,773538
Czechia,7/8/2021,Pfizer/BioNTech,7193152
Czechia,7/9/2021,Johnson&Johnson,98086
Czechia,7/9/2021,Moderna,762915
Czechia,7/9/2021,Oxford/AstraZeneca,778764
Czechia,7/9/2021,Pfizer/BioNTech,7273590
Czechia,7/10/2021,Johnson&Johnson,98102
Czechia,7/10/2021,Moderna,763860
Czechia,7/10/2021,Oxford/AstraZeneca,779076
Czechia,7/10/2021,Pfizer/BioNTech,7309970
Czechia,7/11/2021,Johnson&Johnson,98130
Czechia,7/11/2021,Moderna,764289
Czechia,7/11/2021,Oxford/AstraZeneca,779489
Czechia,7/11/2021,Pfizer/BioNTech,7340287
Czechia,7/12/2021,Johnson&Johnson,99426
Czechia,7/12/2021,Moderna,774399
Czechia,7/12/2021,Oxford/AstraZeneca,784892
Czechia,7/12/2021,Pfizer/BioNTech,7417933
Czechia,7/13/2021,Johnson&Johnson,101238
Czechia,7/13/2021,Moderna,783449
Czechia,7/13/2021,Oxford/AstraZeneca,791804
Czechia,7/13/2021,Pfizer/BioNTech,7493516
Czechia,7/14/2021,Johnson&Johnson,103068
Czechia,7/14/2021,Moderna,791712
Czechia,7/14/2021,Oxford/AstraZeneca,798637
Czechia,7/14/2021,Pfizer/BioNTech,7571572
Czechia,7/15/2021,Johnson&Johnson,105249
Czechia,7/15/2021,Moderna,799140
Czechia,7/15/2021,Oxford/AstraZeneca,805661
Czechia,7/15/2021,Pfizer/BioNTech,7646607
Czechia,7/16/2021,Johnson&Johnson,107506
Czechia,7/16/2021,Moderna,807091
Czechia,7/16/2021,Oxford/AstraZeneca,810713
Czechia,7/16/2021,Pfizer/BioNTech,7727828
Czechia,7/17/2021,Johnson&Johnson,107788
Czechia,7/17/2021,Moderna,807548
Czechia,7/17/2021,Oxford/AstraZeneca,810843
Czechia,7/17/2021,Pfizer/BioNTech,7765879
Czechia,7/18/2021,Johnson&Johnson,107886
Czechia,7/18/2021,Moderna,808073
Czechia,7/18/2021,Oxford/AstraZeneca,810851
Czechia,7/18/2021,Pfizer/BioNTech,7798198
Czechia,7/19/2021,Johnson&Johnson,108972
Czechia,7/19/2021,Moderna,814589
Czechia,7/19/2021,Oxford/AstraZeneca,814832
Czechia,7/19/2021,Pfizer/BioNTech,7874072
Czechia,7/20/2021,Johnson&Johnson,110287
Czechia,7/20/2021,Moderna,820585
Czechia,7/20/2021,Oxford/AstraZeneca,820124
Czechia,7/20/2021,Pfizer/BioNTech,7944822
Denmark,1/8/2021,Pfizer/BioNTech,113007
Denmark,1/15/2021,Moderna,1127
Denmark,1/15/2021,Pfizer/BioNTech,167441
Denmark,1/22/2021,Moderna,2750
Denmark,1/22/2021,Pfizer/BioNTech,206271
Denmark,1/29/2021,Moderna,2809
Denmark,1/29/2021,Pfizer/BioNTech,272592
Denmark,2/5/2021,Moderna,6240
Denmark,2/5/2021,Pfizer/BioNTech,332568
Denmark,2/12/2021,Moderna,13006
Denmark,2/12/2021,Oxford/AstraZeneca,16341
Denmark,2/12/2021,Pfizer/BioNTech,377845
Denmark,2/19/2021,Moderna,15085
Denmark,2/19/2021,Oxford/AstraZeneca,40644
Denmark,2/19/2021,Pfizer/BioNTech,443755
Denmark,2/26/2021,Moderna,16773
Denmark,2/26/2021,Oxford/AstraZeneca,85485
Denmark,2/26/2021,Pfizer/BioNTech,517488
Denmark,3/5/2021,Moderna,26363
Denmark,3/5/2021,Oxford/AstraZeneca,133406
Denmark,3/5/2021,Pfizer/BioNTech,590442
Denmark,3/12/2021,Moderna,37314
Denmark,3/12/2021,Oxford/AstraZeneca,151680
Denmark,3/12/2021,Pfizer/BioNTech,663845
Denmark,3/19/2021,Moderna,49858
Denmark,3/19/2021,Oxford/AstraZeneca,151795
Denmark,3/19/2021,Pfizer/BioNTech,760373
Denmark,3/26/2021,Moderna,58298
Denmark,3/26/2021,Oxford/AstraZeneca,151927
Denmark,3/26/2021,Pfizer/BioNTech,858990
Denmark,4/2/2021,Moderna,78493
Denmark,4/2/2021,Oxford/AstraZeneca,152006
Denmark,4/2/2021,Pfizer/BioNTech,965693
Denmark,4/9/2021,Moderna,97253
Denmark,4/9/2021,Oxford/AstraZeneca,152103
Denmark,4/9/2021,Pfizer/BioNTech,1097206
Denmark,4/16/2021,Moderna,117988
Denmark,4/16/2021,Oxford/AstraZeneca,152195
Denmark,4/16/2021,Pfizer/BioNTech,1322158
Denmark,4/23/2021,Moderna,130006
Denmark,4/23/2021,Oxford/AstraZeneca,152313
Denmark,4/23/2021,Pfizer/BioNTech,1535019
Denmark,4/30/2021,Moderna,155663
Denmark,4/30/2021,Oxford/AstraZeneca,152469
Denmark,4/30/2021,Pfizer/BioNTech,1747215
Denmark,5/7/2021,Moderna,191052
Denmark,5/7/2021,Oxford/AstraZeneca,152638
Denmark,5/7/2021,Pfizer/BioNTech,2048963
Denmark,5/14/2021,Moderna,226790
Denmark,5/14/2021,Oxford/AstraZeneca,152810
Denmark,5/14/2021,Pfizer/BioNTech,2345704
Denmark,5/21/2021,Johnson&Johnson,110
Denmark,5/21/2021,Moderna,272072
Denmark,5/21/2021,Oxford/AstraZeneca,152997
Denmark,5/21/2021,Pfizer/BioNTech,2652998
Denmark,5/28/2021,Johnson&Johnson,1066
Denmark,5/28/2021,Moderna,303788
Denmark,5/28/2021,Oxford/AstraZeneca,153180
Denmark,5/28/2021,Pfizer/BioNTech,2946644
Denmark,6/4/2021,Johnson&Johnson,11132
Denmark,6/4/2021,Moderna,336372
Denmark,6/4/2021,Oxford/AstraZeneca,153305
Denmark,6/4/2021,Pfizer/BioNTech,3258323
Denmark,6/11/2021,Johnson&Johnson,30851
Denmark,6/11/2021,Moderna,360982
Denmark,6/11/2021,Oxford/AstraZeneca,153616
Denmark,6/11/2021,Pfizer/BioNTech,3635081
Denmark,6/18/2021,Johnson&Johnson,41007
Denmark,6/18/2021,Moderna,399654
Denmark,6/18/2021,Oxford/AstraZeneca,153820
Denmark,6/18/2021,Pfizer/BioNTech,4003393
Denmark,6/25/2021,Johnson&Johnson,44783
Denmark,6/25/2021,Moderna,437630
Denmark,6/25/2021,Oxford/AstraZeneca,153909
Denmark,6/25/2021,Pfizer/BioNTech,4368667
Denmark,7/2/2021,Johnson&Johnson,46577
Denmark,7/2/2021,Moderna,477357
Denmark,7/2/2021,Oxford/AstraZeneca,154020
Denmark,7/2/2021,Pfizer/BioNTech,4739533
Denmark,7/9/2021,Johnson&Johnson,47151
Denmark,7/9/2021,Moderna,554331
Denmark,7/9/2021,Oxford/AstraZeneca,154057
Denmark,7/9/2021,Pfizer/BioNTech,5154083
Denmark,7/16/2021,Johnson&Johnson,47407
Denmark,7/16/2021,Moderna,665618
Denmark,7/16/2021,Oxford/AstraZeneca,154159
Denmark,7/16/2021,Pfizer/BioNTech,5536057
Estonia,1/1/2021,Pfizer/BioNTech,191
Estonia,1/8/2021,Pfizer/BioNTech,10927
Estonia,1/15/2021,Moderna,0
Estonia,1/15/2021,Pfizer/BioNTech,18194
Estonia,1/22/2021,Moderna,418
Estonia,1/22/2021,Pfizer/BioNTech,25642
Estonia,1/29/2021,Moderna,786
Estonia,1/29/2021,Pfizer/BioNTech,37943
Estonia,2/5/2021,Moderna,1313
Estonia,2/5/2021,Pfizer/BioNTech,52418
Estonia,2/12/2021,Moderna,2065
Estonia,2/12/2021,Oxford/AstraZeneca,0
Estonia,2/12/2021,Pfizer/BioNTech,66778
Estonia,2/19/2021,Moderna,2547
Estonia,2/19/2021,Oxford/AstraZeneca,7984
Estonia,2/19/2021,Pfizer/BioNTech,78955
Estonia,2/26/2021,Moderna,3307
Estonia,2/26/2021,Oxford/AstraZeneca,20306
Estonia,2/26/2021,Pfizer/BioNTech,90290
Estonia,3/5/2021,Moderna,5712
Estonia,3/5/2021,Oxford/AstraZeneca,38401
Estonia,3/5/2021,Pfizer/BioNTech,103845
Estonia,3/12/2021,Moderna,9224
Estonia,3/12/2021,Oxford/AstraZeneca,63043
Estonia,3/12/2021,Pfizer/BioNTech,121231
Estonia,3/19/2021,Moderna,11780
Estonia,3/19/2021,Oxford/AstraZeneca,79140
Estonia,3/19/2021,Pfizer/BioNTech,136632
Estonia,3/26/2021,Moderna,14017
Estonia,3/26/2021,Oxford/AstraZeneca,88408
Estonia,3/26/2021,Pfizer/BioNTech,156384
Estonia,4/2/2021,Moderna,17366
Estonia,4/2/2021,Oxford/AstraZeneca,107021
Estonia,4/2/2021,Pfizer/BioNTech,175604
Estonia,4/9/2021,Moderna,22423
Estonia,4/9/2021,Oxford/AstraZeneca,117016
Estonia,4/9/2021,Pfizer/BioNTech,200054
Estonia,4/16/2021,Johnson&Johnson,0
Estonia,4/16/2021,Moderna,26160
Estonia,4/16/2021,Oxford/AstraZeneca,126506
Estonia,4/16/2021,Pfizer/BioNTech,227282
Estonia,4/23/2021,Johnson&Johnson,0
Estonia,4/23/2021,Moderna,30908
Estonia,4/23/2021,Oxford/AstraZeneca,136751
Estonia,4/23/2021,Pfizer/BioNTech,251211
Estonia,4/30/2021,Johnson&Johnson,35
Estonia,4/30/2021,Moderna,35891
Estonia,4/30/2021,Oxford/AstraZeneca,152676
Estonia,4/30/2021,Pfizer/BioNTech,285270
Estonia,5/7/2021,Johnson&Johnson,347
Estonia,5/7/2021,Moderna,40644
Estonia,5/7/2021,Oxford/AstraZeneca,170206
Estonia,5/7/2021,Pfizer/BioNTech,332310
Estonia,5/14/2021,Johnson&Johnson,1088
Estonia,5/14/2021,Moderna,46285
Estonia,5/14/2021,Oxford/AstraZeneca,176995
Estonia,5/14/2021,Pfizer/BioNTech,367533
Estonia,5/21/2021,Johnson&Johnson,5802
Estonia,5/21/2021,Moderna,57036
Estonia,5/21/2021,Oxford/AstraZeneca,179902
Estonia,5/21/2021,Pfizer/BioNTech,412577
Estonia,5/28/2021,Johnson&Johnson,11249
Estonia,5/28/2021,Moderna,65420
Estonia,5/28/2021,Oxford/AstraZeneca,182034
Estonia,5/28/2021,Pfizer/BioNTech,459374
Estonia,6/4/2021,Johnson&Johnson,15136
Estonia,6/4/2021,Moderna,70862
Estonia,6/4/2021,Oxford/AstraZeneca,189485
Estonia,6/4/2021,Pfizer/BioNTech,502148
Estonia,6/11/2021,Johnson&Johnson,16443
Estonia,6/11/2021,Moderna,77980
Estonia,6/11/2021,Oxford/AstraZeneca,207340
Estonia,6/11/2021,Pfizer/BioNTech,544125
Estonia,6/18/2021,Johnson&Johnson,19031
Estonia,6/18/2021,Moderna,86284
Estonia,6/18/2021,Oxford/AstraZeneca,218527
Estonia,6/18/2021,Pfizer/BioNTech,592211
Estonia,6/25/2021,Johnson&Johnson,20536
Estonia,6/25/2021,Moderna,90116
Estonia,6/25/2021,Oxford/AstraZeneca,225650
Estonia,6/25/2021,Pfizer/BioNTech,610003
Estonia,7/2/2021,Johnson&Johnson,23782
Estonia,7/2/2021,Moderna,94679
Estonia,7/2/2021,Oxford/AstraZeneca,233191
Estonia,7/2/2021,Pfizer/BioNTech,642674
Estonia,7/9/2021,Johnson&Johnson,25984
Estonia,7/9/2021,Moderna,98219
Estonia,7/9/2021,Oxford/AstraZeneca,234867
Estonia,7/9/2021,Pfizer/BioNTech,674809
Estonia,7/16/2021,Johnson&Johnson,29857
Estonia,7/16/2021,Moderna,100481
Estonia,7/16/2021,Oxford/AstraZeneca,235375
Estonia,7/16/2021,Pfizer/BioNTech,702304
Finland,1/1/2021,Johnson&Johnson,0
Finland,1/1/2021,Moderna,42
Finland,1/1/2021,Oxford/AstraZeneca,0
Finland,1/1/2021,Pfizer/BioNTech,25
Finland,1/8/2021,Johnson&Johnson,0
Finland,1/8/2021,Moderna,191
Finland,1/8/2021,Oxford/AstraZeneca,141
Finland,1/8/2021,Pfizer/BioNTech,20985
Finland,1/15/2021,Johnson&Johnson,0
Finland,1/15/2021,Moderna,236
Finland,1/15/2021,Oxford/AstraZeneca,204
Finland,1/15/2021,Pfizer/BioNTech,61349
Finland,1/22/2021,Johnson&Johnson,0
Finland,1/22/2021,Moderna,1161
Finland,1/22/2021,Oxford/AstraZeneca,277
Finland,1/22/2021,Pfizer/BioNTech,117687
Finland,1/29/2021,Johnson&Johnson,0
Finland,1/29/2021,Moderna,3791
Finland,1/29/2021,Oxford/AstraZeneca,285
Finland,1/29/2021,Pfizer/BioNTech,171170
Finland,2/5/2021,Johnson&Johnson,0
Finland,2/5/2021,Moderna,4672
Finland,2/5/2021,Oxford/AstraZeneca,290
Finland,2/5/2021,Pfizer/BioNTech,225669
Finland,2/12/2021,Johnson&Johnson,0
Finland,2/12/2021,Moderna,5940
Finland,2/12/2021,Oxford/AstraZeneca,4205
Finland,2/12/2021,Pfizer/BioNTech,276318
Finland,2/19/2021,Johnson&Johnson,0
Finland,2/19/2021,Moderna,10521
Finland,2/19/2021,Oxford/AstraZeneca,24257
Finland,2/19/2021,Pfizer/BioNTech,336096
Finland,2/26/2021,Johnson&Johnson,0
Finland,2/26/2021,Moderna,19062
Finland,2/26/2021,Oxford/AstraZeneca,55863
Finland,2/26/2021,Pfizer/BioNTech,398537
Finland,3/5/2021,Johnson&Johnson,0
Finland,3/5/2021,Moderna,26965
Finland,3/5/2021,Oxford/AstraZeneca,95961
Finland,3/5/2021,Pfizer/BioNTech,464329
Finland,3/12/2021,Johnson&Johnson,0
Finland,3/12/2021,Moderna,38597
Finland,3/12/2021,Oxford/AstraZeneca,140297
Finland,3/12/2021,Pfizer/BioNTech,532391
Finland,3/19/2021,Johnson&Johnson,0
Finland,3/19/2021,Moderna,42396
Finland,3/19/2021,Oxford/AstraZeneca,184789
Finland,3/19/2021,Pfizer/BioNTech,611515
Finland,3/26/2021,Johnson&Johnson,0
Finland,3/26/2021,Moderna,52387
Finland,3/26/2021,Oxford/AstraZeneca,184856
Finland,3/26/2021,Pfizer/BioNTech,711839
Finland,4/2/2021,Johnson&Johnson,0
Finland,4/2/2021,Moderna,69162
Finland,4/2/2021,Oxford/AstraZeneca,202147
Finland,4/2/2021,Pfizer/BioNTech,811226
Finland,4/9/2021,Johnson&Johnson,0
Finland,4/9/2021,Moderna,81142
Finland,4/9/2021,Oxford/AstraZeneca,243012
Finland,4/9/2021,Pfizer/BioNTech,931921
Finland,4/16/2021,Johnson&Johnson,0
Finland,4/16/2021,Moderna,103159
Finland,4/16/2021,Oxford/AstraZeneca,298701
Finland,4/16/2021,Pfizer/BioNTech,1088535
Finland,4/23/2021,Johnson&Johnson,0
Finland,4/23/2021,Moderna,117781
Finland,4/23/2021,Oxford/AstraZeneca,335856
Finland,4/23/2021,Pfizer/BioNTech,1257708
Finland,4/30/2021,Johnson&Johnson,0
Finland,4/30/2021,Moderna,137269
Finland,4/30/2021,Oxford/AstraZeneca,353379
Finland,4/30/2021,Pfizer/BioNTech,1434232
Finland,5/7/2021,Johnson&Johnson,0
Finland,5/7/2021,Moderna,161648
Finland,5/7/2021,Oxford/AstraZeneca,359251
Finland,5/7/2021,Pfizer/BioNTech,1647524
Finland,5/14/2021,Johnson&Johnson,0
Finland,5/14/2021,Moderna,187692
Finland,5/14/2021,Oxford/AstraZeneca,367010
Finland,5/14/2021,Pfizer/BioNTech,1849512
Finland,5/21/2021,Johnson&Johnson,0
Finland,5/21/2021,Moderna,221477
Finland,5/21/2021,Oxford/AstraZeneca,380070
Finland,5/21/2021,Pfizer/BioNTech,2078501
Finland,5/28/2021,Johnson&Johnson,0
Finland,5/28/2021,Moderna,257976
Finland,5/28/2021,Oxford/AstraZeneca,391764
Finland,5/28/2021,Pfizer/BioNTech,2303333
Finland,6/4/2021,Johnson&Johnson,0
Finland,6/4/2021,Moderna,296139
Finland,6/4/2021,Oxford/AstraZeneca,404397
Finland,6/4/2021,Pfizer/BioNTech,2550923
Finland,6/11/2021,Johnson&Johnson,0
Finland,6/11/2021,Moderna,325091
Finland,6/11/2021,Oxford/AstraZeneca,421471
Finland,6/11/2021,Pfizer/BioNTech,2846931
Finland,6/18/2021,Johnson&Johnson,0
Finland,6/18/2021,Moderna,357929
Finland,6/18/2021,Oxford/AstraZeneca,425508
Finland,6/18/2021,Pfizer/BioNTech,3149361
Finland,6/25/2021,Johnson&Johnson,0
Finland,6/25/2021,Moderna,383110
Finland,6/25/2021,Oxford/AstraZeneca,438332
Finland,6/25/2021,Pfizer/BioNTech,3366597
Finland,7/2/2021,Johnson&Johnson,0
Finland,7/2/2021,Moderna,409062
Finland,7/2/2021,Oxford/AstraZeneca,470726
Finland,7/2/2021,Pfizer/BioNTech,3620300
Finland,7/9/2021,Johnson&Johnson,0
Finland,7/9/2021,Moderna,440840
Finland,7/9/2021,Oxford/AstraZeneca,507298
Finland,7/9/2021,Pfizer/BioNTech,3849458
Finland,7/16/2021,Johnson&Johnson,0
Finland,7/16/2021,Moderna,466543
Finland,7/16/2021,Oxford/AstraZeneca,535264
Finland,7/16/2021,Pfizer/BioNTech,4046849
Finland,7/20/2021,Moderna,466618
Finland,7/20/2021,Oxford/AstraZeneca,536040
Finland,7/20/2021,Pfizer/BioNTech,4055644
France,12/27/2020,Pfizer/BioNTech,25
France,12/28/2020,Pfizer/BioNTech,110
France,12/29/2020,Pfizer/BioNTech,220
France,12/30/2020,Pfizer/BioNTech,353
France,12/31/2020,Pfizer/BioNTech,445
France,1/1/2021,Pfizer/BioNTech,524
France,1/2/2021,Pfizer/BioNTech,618
France,1/3/2021,Pfizer/BioNTech,718
France,1/4/2021,Pfizer/BioNTech,2209
France,1/5/2021,Pfizer/BioNTech,7666
France,1/6/2021,Pfizer/BioNTech,19020
France,1/7/2021,Pfizer/BioNTech,47752
France,1/8/2021,Pfizer/BioNTech,84167
France,1/9/2021,Pfizer/BioNTech,95145
France,1/10/2021,Pfizer/BioNTech,100819
France,1/11/2021,Pfizer/BioNTech,140124
France,1/12/2021,Pfizer/BioNTech,201281
France,1/13/2021,Pfizer/BioNTech,265420
France,1/14/2021,Moderna,173
France,1/14/2021,Pfizer/BioNTech,345551
France,1/15/2021,Moderna,391
France,1/15/2021,Pfizer/BioNTech,413164
France,1/16/2021,Moderna,580
France,1/16/2021,Pfizer/BioNTech,432854
France,1/17/2021,Moderna,584
France,1/17/2021,Pfizer/BioNTech,443388
France,1/18/2021,Moderna,3508
France,1/18/2021,Pfizer/BioNTech,525340
France,1/19/2021,Moderna,8038
France,1/19/2021,Pfizer/BioNTech,649941
France,1/20/2021,Moderna,12969
France,1/20/2021,Pfizer/BioNTech,780891
France,1/21/2021,Moderna,18103
France,1/21/2021,Pfizer/BioNTech,931850
France,1/22/2021,Moderna,22993
France,1/22/2021,Pfizer/BioNTech,1046361
France,1/23/2021,Moderna,24731
France,1/23/2021,Pfizer/BioNTech,1082604
France,1/24/2021,Moderna,24833
France,1/24/2021,Pfizer/BioNTech,1091922
France,1/25/2021,Moderna,28481
France,1/25/2021,Pfizer/BioNTech,1166628
France,1/26/2021,Moderna,32242
France,1/26/2021,Pfizer/BioNTech,1265093
France,1/27/2021,Moderna,35688
France,1/27/2021,Pfizer/BioNTech,1373155
France,1/28/2021,Moderna,39209
France,1/28/2021,Pfizer/BioNTech,1506765
France,1/29/2021,Moderna,42299
France,1/29/2021,Pfizer/BioNTech,1612118
France,1/30/2021,Moderna,43363
France,1/30/2021,Pfizer/BioNTech,1644009
France,1/31/2021,Moderna,43363
France,1/31/2021,Pfizer/BioNTech,1650588
France,2/1/2021,Moderna,46629
France,2/1/2021,Pfizer/BioNTech,1720197
France,2/2/2021,Moderna,50944
France,2/2/2021,Pfizer/BioNTech,1821302
France,2/3/2021,Moderna,55981
France,2/3/2021,Pfizer/BioNTech,1924387
France,2/4/2021,Moderna,60725
France,2/4/2021,Pfizer/BioNTech,2050509
France,2/5/2021,Moderna,65357
France,2/5/2021,Pfizer/BioNTech,2158540
France,2/6/2021,Moderna,67294
France,2/6/2021,Oxford/AstraZeneca,379
France,2/6/2021,Pfizer/BioNTech,2188052
France,2/7/2021,Moderna,67336
France,2/7/2021,Oxford/AstraZeneca,1729
France,2/7/2021,Pfizer/BioNTech,2196537
France,2/8/2021,Moderna,74775
France,2/8/2021,Oxford/AstraZeneca,4365
France,2/8/2021,Pfizer/BioNTech,2278452
France,2/9/2021,Moderna,83057
France,2/9/2021,Oxford/AstraZeneca,11019
France,2/9/2021,Pfizer/BioNTech,2400902
France,2/10/2021,Moderna,92256
France,2/10/2021,Oxford/AstraZeneca,20303
France,2/10/2021,Pfizer/BioNTech,2528652
France,2/11/2021,Moderna,102390
France,2/11/2021,Oxford/AstraZeneca,33699
France,2/11/2021,Pfizer/BioNTech,2690203
France,2/12/2021,Moderna,112450
France,2/12/2021,Oxford/AstraZeneca,46787
France,2/12/2021,Pfizer/BioNTech,2819277
France,2/13/2021,Moderna,115697
France,2/13/2021,Oxford/AstraZeneca,50319
France,2/13/2021,Pfizer/BioNTech,2853750
France,2/14/2021,Moderna,115993
France,2/14/2021,Oxford/AstraZeneca,51192
France,2/14/2021,Pfizer/BioNTech,2864385
France,2/15/2021,Moderna,122420
France,2/15/2021,Oxford/AstraZeneca,61362
France,2/15/2021,Pfizer/BioNTech,2961517
France,2/16/2021,Moderna,131246
France,2/16/2021,Oxford/AstraZeneca,73589
France,2/16/2021,Pfizer/BioNTech,3090586
France,2/17/2021,Moderna,139772
France,2/17/2021,Oxford/AstraZeneca,84445
France,2/17/2021,Pfizer/BioNTech,3223689
France,2/18/2021,Moderna,150134
France,2/18/2021,Oxford/AstraZeneca,99079
France,2/18/2021,Pfizer/BioNTech,3385608
France,2/19/2021,Moderna,159678
France,2/19/2021,Oxford/AstraZeneca,113241
France,2/19/2021,Pfizer/BioNTech,3516733
France,2/20/2021,Moderna,162957
France,2/20/2021,Oxford/AstraZeneca,116436
France,2/20/2021,Pfizer/BioNTech,3556739
France,2/21/2021,Moderna,163243
France,2/21/2021,Oxford/AstraZeneca,116986
France,2/21/2021,Pfizer/BioNTech,3565168
France,2/22/2021,Moderna,170505
France,2/22/2021,Oxford/AstraZeneca,125929
France,2/22/2021,Pfizer/BioNTech,3658742
France,2/23/2021,Moderna,179038
France,2/23/2021,Oxford/AstraZeneca,137071
France,2/23/2021,Pfizer/BioNTech,3775916
France,2/24/2021,Moderna,187326
France,2/24/2021,Oxford/AstraZeneca,151052
France,2/24/2021,Pfizer/BioNTech,3893153
France,2/25/2021,Moderna,196055
France,2/25/2021,Oxford/AstraZeneca,195602
France,2/25/2021,Pfizer/BioNTech,4030383
France,2/26/2021,Moderna,203382
France,2/26/2021,Oxford/AstraZeneca,257180
France,2/26/2021,Pfizer/BioNTech,4144631
France,2/27/2021,Moderna,205932
France,2/27/2021,Oxford/AstraZeneca,291758
France,2/27/2021,Pfizer/BioNTech,4180844
France,2/28/2021,Moderna,206061
France,2/28/2021,Oxford/AstraZeneca,294125
France,2/28/2021,Pfizer/BioNTech,4188476
France,3/1/2021,Moderna,214795
France,3/1/2021,Oxford/AstraZeneca,314164
France,3/1/2021,Pfizer/BioNTech,4276433
France,3/2/2021,Moderna,225836
France,3/2/2021,Oxford/AstraZeneca,352663
France,3/2/2021,Pfizer/BioNTech,4392833
France,3/3/2021,Moderna,236975
France,3/3/2021,Oxford/AstraZeneca,400820
France,3/3/2021,Pfizer/BioNTech,4513305
France,3/4/2021,Moderna,249025
France,3/4/2021,Oxford/AstraZeneca,482428
France,3/4/2021,Pfizer/BioNTech,4649788
France,3/5/2021,Moderna,260869
France,3/5/2021,Oxford/AstraZeneca,599950
France,3/5/2021,Pfizer/BioNTech,4782537
France,3/6/2021,Moderna,267179
France,3/6/2021,Oxford/AstraZeneca,719898
France,3/6/2021,Pfizer/BioNTech,4880249
France,3/7/2021,Moderna,269495
France,3/7/2021,Oxford/AstraZeneca,774754
France,3/7/2021,Pfizer/BioNTech,4948746
France,3/8/2021,Moderna,281791
France,3/8/2021,Oxford/AstraZeneca,817128
France,3/8/2021,Pfizer/BioNTech,5050275
France,3/9/2021,Moderna,297500
France,3/9/2021,Oxford/AstraZeneca,895542
France,3/9/2021,Pfizer/BioNTech,5183334
France,3/10/2021,Moderna,313479
France,3/10/2021,Oxford/AstraZeneca,975780
France,3/10/2021,Pfizer/BioNTech,5320813
France,3/11/2021,Moderna,331790
France,3/11/2021,Oxford/AstraZeneca,1103569
France,3/11/2021,Pfizer/BioNTech,5478216
France,3/12/2021,Moderna,347685
France,3/12/2021,Oxford/AstraZeneca,1285568
France,3/12/2021,Pfizer/BioNTech,5626121
France,3/13/2021,Moderna,360088
France,3/13/2021,Oxford/AstraZeneca,1417162
France,3/13/2021,Pfizer/BioNTech,5726886
France,3/14/2021,Moderna,365248
France,3/14/2021,Oxford/AstraZeneca,1431026
France,3/14/2021,Pfizer/BioNTech,5773716
France,3/15/2021,Moderna,379392
France,3/15/2021,Oxford/AstraZeneca,1482803
France,3/15/2021,Pfizer/BioNTech,5897042
France,3/16/2021,Moderna,400505
France,3/16/2021,Oxford/AstraZeneca,1483784
France,3/16/2021,Pfizer/BioNTech,6054208
France,3/17/2021,Moderna,424388
France,3/17/2021,Oxford/AstraZeneca,1484497
France,3/17/2021,Pfizer/BioNTech,6216984
France,3/18/2021,Moderna,452276
France,3/18/2021,Oxford/AstraZeneca,1485768
France,3/18/2021,Pfizer/BioNTech,6398129
France,3/19/2021,Moderna,479728
France,3/19/2021,Oxford/AstraZeneca,1555773
France,3/19/2021,Pfizer/BioNTech,6565823
France,3/20/2021,Moderna,506445
